# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      23.58       23581266.50
2                      53.16       26578114.85
4                     105.75       26438319.93
8                     212.91       26613545.70
16                    430.13       26883200.95
32                    846.55       26454571.05
64                   1584.90       24764132.36
128                  3035.27       23713052.19
256                  5387.56       21045141.55
512                  8081.19       15783567.27
1024                11609.22       11337125.32
2048                12160.19        5937590.68
4096                12165.97        2970207.20
8192                12269.06        1497688.06
16384               12301.00         750793.36
32768               12317.95         375914.02
65536               12333.73         188197.79
131072              12336.77          94122.11
262144              12303.86          46935.50
524288              12280.71          23423.59
1048576             12339.47          11767.84
2097152             12334.09           5881.35
4194304             12344.86           2943.25
