7,0,0.81,12042.811187 
7,1,0.84,12012.872375 
7,2,0.85,12037.975712 
7,3,0.96,12014.204034 
7,4,0.96,12020.529140 
7,5,0.88,11869.161179 
7,6,0.96,12016.892337 
7,8,0.97,12021.125152 
7,9,0.85,11867.710368 
7,10,0.96,12014.097352 
7,11,0.96,12015.752845 
7,12,0.82,12032.312191 
7,13,0.81,12044.498814 
7,14,0.81,12046.038149 
7,15,0.95,12019.433735 
5,0,0.86,11867.905133 
5,1,0.87,11870.578749 
5,2,0.87,11868.348413 
5,3,1.01,11846.097751 
5,4,1.01,11845.087427 
5,6,1.01,11843.856537 
5,7,0.87,11868.099903 
5,8,1.01,11843.910048 
5,9,0.91,11858.583774 
5,10,1.01,11846.000725 
5,11,1.01,11843.582297 
5,12,0.87,11867.022029 
5,13,0.86,11867.972294 
5,14,0.87,11866.703070 
5,15,1.01,11844.609088 
1,0,0.83,12037.467849 
1,2,0.82,12050.294987 
1,3,0.97,12027.723125 
1,4,0.97,12023.585618 
1,5,0.87,11868.429013 
1,6,0.97,12015.009366 
1,7,0.82,12045.557281 
1,8,0.96,12017.939070 
1,9,0.87,11867.874910 
1,10,0.97,12010.457561 
1,11,0.96,12023.351245 
1,12,0.82,12049.453763 
1,13,0.83,12045.802899 
1,14,0.82,12042.344406 
1,15,0.96,12030.876438 
4,0,0.97,12015.453377 
4,1,0.97,12021.917629 
4,2,0.97,12029.199525 
4,3,0.82,12048.297705 
4,5,1.01,11844.177614 
4,6,0.81,12040.612448 
4,7,0.96,12022.858401 
4,8,0.82,12044.951926 
4,9,1.01,11843.438493 
4,10,0.82,12042.814645 
4,11,0.81,12036.082674 
4,12,0.96,12019.292518 
4,13,0.96,12006.431592 
4,14,0.96,12023.640766 
4,15,0.81,12041.317616 
13,0,0.81,12045.415449 
13,1,0.83,12043.433617 
13,2,0.82,12056.481413 
13,3,0.98,12013.216444 
13,4,0.96,12016.751180 
13,5,0.86,11871.149904 
13,6,0.96,12032.156865 
13,7,0.81,12044.460768 
13,8,0.95,12020.959779 
13,9,0.86,11869.607912 
13,10,0.95,12021.721223 
13,11,0.96,12000.979694 
