# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      10.49       10488541.74
2                      21.20       10602324.54
4                      42.96       10740300.50
8                      85.65       10706280.11
16                    171.67       10729514.65
32                    317.27        9914690.63
64                    615.86        9622808.52
128                  1060.88        8288158.22
256                  2012.48        7861256.32
512                  3588.20        7008206.93
1024                 4981.07        4864326.02
2048                 5519.51        2695072.21
4096                 5637.25        1376282.30
8192                 5726.42         699026.46
16384                5733.63         349953.00
32768                5722.30         174630.71
65536                5765.22          87970.29
131072               5777.46          44078.49
262144               5779.32          22046.35
524288               5781.06          11026.50
1048576              5785.01           5517.01
2097152              5787.06           2759.49
4194304              5786.85           1379.69
