# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      20.68       20678142.87
2                      41.00       20502088.94
4                      82.45       20611664.17
8                     160.48       20060368.44
16                    306.37       19148181.44
32                    559.12       17472643.46
64                    952.09       14876454.97
128                  1460.66       11411394.09
256                  1986.00        7757819.51
512                  2432.95        4751855.74
1024                 2738.02        2673845.47
2048                 2919.44        1425507.65
4096                 2961.32         722977.96
8192                 3012.90         367785.99
16384                3028.29         184832.03
32768                3039.71          92764.44
65536                3045.77          46474.75
131072               3049.11          23262.90
262144               3063.08          11684.72
524288               3063.43           5843.03
1048576              3063.88           2921.94
2097152              3064.72           1461.37
4194304              3064.91            730.73
