# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       6.09        6092667.57
2                      12.36        6182254.80
4                      24.90        6224887.68
8                      49.53        6191806.69
16                     98.87        6179174.83
32                    194.66        6083170.24
64                    365.60        5712429.17
128                   708.19        5532713.90
256                  1091.79        4264807.21
512                  1753.09        3424005.27
1024                 2232.76        2180432.86
2048                 2580.06        1259797.14
4096                 2734.77         667668.59
8192                 2877.70         351281.76
16384                2960.48         180693.15
32768                2992.16          91313.33
65536                3009.07          45914.80
131072               3018.00          23025.50
262144               3022.59          11530.27
524288               3025.03           5769.78
1048576              3061.56           2919.73
2097152              3062.55           1460.34
4194304              3063.09            730.30
