# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       5.67        5671139.48
2                      11.50        5751449.32
4                      23.07        5766872.38
8                      46.12        5765558.00
16                     91.60        5725189.13
32                    181.85        5682696.01
64                    358.04        5594332.24
128                   667.29        5213182.51
256                  1118.85        4370498.05
512                  1728.04        3375073.50
1024                 2198.74        2147203.55
2048                 2561.52        1250744.10
4096                 2725.03         665291.04
8192                 2872.92         350697.83
16384                2956.76         180466.26
32768                2989.93          91245.31
65536                3008.28          45902.76
131072               3017.59          23022.41
262144               3022.34          11529.30
524288               3024.91           5769.56
1048576              3061.52           2919.69
2097152              3062.54           1460.33
4194304              3063.10            730.30
