# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       5.31        5311439.97
2                      10.69        5343849.78
4                      21.34        5334063.75
8                      42.64        5329901.30
16                     85.38        5336328.96
32                    170.45        5326631.33
64                    339.34        5302188.40
128                   677.38        5292058.00
256                  1276.22        4985243.15
512                  2480.34        4844411.35
1024                 4629.32        4520823.77
2048                 8138.89        3974067.55
4096                11814.36        2884364.84
8192                12236.86        1493757.16
16384               12287.94         749996.53
32768               12309.26         375648.87
65536               12342.27         188328.16
131072              12337.43          94127.10
262144              12507.08          47710.73
524288              12515.17          23870.80
1048576             12508.46          11929.00
2097152             12461.93           5942.31
4194304             12394.70           2955.13
