# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       5.95        5948060.69
2                      11.90        5951351.04
4                      23.72        5928780.90
8                      48.23        6028998.70
16                     96.90        6056013.42
32                    190.73        5960446.41
64                    368.82        5762800.24
128                   734.95        5741789.76
256                  1328.00        5187491.40
512                  2470.25        4824715.82
1024                 3790.89        3702041.40
2048                 4610.26        2251102.05
4096                 5122.25        1250548.81
8192                 5441.87         664291.20
16384                5481.47         334562.64
32768                5648.25         172370.83
65536                5720.62          87289.79
131072               5753.63          43896.70
262144               5764.57          21990.10
524288               5771.67          11008.58
1048576              5779.32           5511.59
2097152              5784.26           2758.15
4194304              5785.24           1379.31
