# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.70        2704200.33
2                       5.41        2706018.03
4                      10.75        2687501.88
8                      21.78        2722545.17
16                     43.52        2720158.11
32                     85.62        2675752.43
64                    173.39        2709157.10
128                   345.26        2697327.02
256                   651.40        2544529.67
512                  1263.35        2467485.26
1024                 2176.91        2125890.58
2048                 2908.77        1420295.77
4096                 2956.17         721722.10
8192                 3013.92         367910.09
16384                3024.38         184593.66
32768                3041.55          92820.74
65536                3046.39          46484.21
131072               3049.24          23263.86
262144               3057.90          11664.95
524288               3072.14           5859.65
1048576              3084.16           2941.28
2097152              3088.67           1472.79
4194304              3077.38            733.70
