# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      20.91       20914916.32
2                      41.70       20851263.07
4                      83.36       20840911.02
8                     162.28       20285077.79
16                    308.91       19306727.51
32                    561.93       17560457.46
64                    957.69       14963943.48
128                  1461.86       11420810.61
256                  1986.54        7759905.15
512                  2430.06        4746211.95
1024                 2736.32        2672190.65
2048                 2917.91        1424758.97
4096                 2961.68         723066.81
8192                 3011.54         367619.25
16384                3025.97         184690.25
32768                3039.02          92743.52
65536                3045.58          46471.91
131072               3048.79          23260.40
262144               3061.52          11678.78
524288               3062.75           5841.74
1048576              3063.52           2921.60
2097152              3064.16           1461.10
4194304              3064.32            730.59
