# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      40.28       40278620.67
2                      65.94       32970084.69
4                     128.35       32086720.94
8                     241.19       30148830.73
16                    450.11       28131733.00
32                    794.51       24828511.99
64                   1278.33       19973851.92
128                  1822.99       14242123.52
256                  2280.28        8907344.72
512                  2637.99        5152316.52
1024                 2864.17        2797045.32
2048                 2996.43        1463099.61
4096                 3001.20         732715.75
8192                 3030.02         369875.53
16384                3041.02         185608.88
32768                3034.15          92594.99
65536                3056.85          46643.78
131072               3060.31          23348.33
262144               3061.96          11680.44
524288               3062.81           5841.85
1048576              3063.24           2921.34
2097152              3063.46           1460.77
4194304              3063.56            730.41
