# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                     106.54      106544009.26
2                     223.55      111773698.65
4                     444.36      111089722.78
8                     887.29      110911628.74
16                   1766.10      110381418.19
32                   2355.12       73597651.20
64                   4711.70       73620311.15
128                  6920.58       54067004.28
256                  8160.13       31875490.10
512                  9989.67       19511081.64
1024                11789.35       11513036.29
2048                12244.37        5978693.95
4096                12230.00        2985838.65
8192                12295.82        1500955.17
16384               12337.30         753008.90
32768               12343.85         376704.38
65536               12318.63         187967.35
131072              12318.26          93980.89
262144              12386.89          47252.22
524288              12390.26          23632.54
1048576             12391.56          11817.51
2097152             12392.28           5909.10
4194304             12392.56           2954.62
