44,0,1.06,12001.278120 
44,1,0.99,12036.041387 
44,2,0.98,12052.646238 
44,3,1.01,12057.513959 
44,4,0.98,12070.408113 
44,5,1.04,12057.447782 
44,6,0.99,12068.779473 
44,7,1.08,12053.370419 
44,8,0.97,12061.511753 
44,9,1.00,12061.269485 
44,10,0.97,12060.946476 
44,11,0.98,12067.390544 
44,12,0.97,12068.957357 
44,13,0.99,12060.182628 
44,14,0.97,12070.359587 
44,15,0.97,12073.608449 
44,16,0.97,12062.133619 
44,17,0.97,12069.463546 
44,18,0.97,12071.576087 
44,19,0.97,12065.019270 
44,20,0.97,12068.029185 
44,21,0.98,12044.139994 
44,22,0.98,12066.585467 
44,23,0.97,12069.668944 
44,24,0.99,12060.978776 
44,25,0.98,12070.345029 
44,26,0.98,12068.751983 
44,27,0.98,12062.808860 
44,28,0.98,12062.511616 
44,29,0.98,12071.648891 
44,30,0.97,12068.863563 
44,31,0.98,12069.481336 
44,32,0.99,12064.471440 
44,33,0.98,12066.928178 
44,34,0.99,12057.129820 
44,35,0.98,11995.995547 
44,36,0.98,12065.967991 
44,37,1.01,12071.669924 
44,38,0.98,12069.992420 
44,39,0.98,12065.620487 
44,40,0.98,12068.291129 
44,41,0.98,12067.901452 
44,42,1.00,12063.406625 
44,43,0.98,12062.892867 
44,45,1.05,12048.066072 
44,46,1.05,12054.070490 
44,47,1.01,12055.559622 
44,48,1.08,12043.953178 
44,49,0.98,12062.230539 
44,50,0.98,12042.233459 
44,51,0.98,12023.679537 
44,52,1.07,12053.192995 
44,53,0.98,12018.135087 
44,54,0.98,12043.658472 
44,55,0.99,12019.175886 
src,dst,lat(us),bandwidth((Mbytes/sec)
0,1,1.01,12052.686557 
0,2,0.98,12046.944534 
0,3,0.99,12054.852924 
0,4,0.97,12065.992236 
0,5,0.98,12070.930600 
0,6,0.98,12064.443969 
0,7,0.97,12068.273342 
0,8,0.98,12077.453360 
0,9,1.06,12065.245527 
0,10,0.98,12071.877015 
0,11,0.98,12066.507875 
0,12,1.04,12062.566540 
0,13,1.05,12052.963964 
0,14,0.98,11990.953872 
0,15,0.97,12071.721696 
0,16,0.97,12061.327628 
0,17,1.05,12061.607048 
0,18,1.05,12031.935091 
0,19,1.05,12060.873801 
0,20,1.04,12059.389815 
0,21,1.04,12059.567422 
0,22,0.98,12066.564453 
0,23,1.11,12059.496379 
0,24,0.98,12069.484570 
0,25,0.98,12072.627781 
0,26,1.07,12054.370546 
0,27,1.08,12059.026544 
0,28,1.08,12030.016350 
0,29,1.09,12032.205113 
0,30,0.98,12020.005125 
0,31,1.09,12061.345394 
0,32,1.09,12059.870980 
0,33,1.08,12052.247894 
0,34,0.98,12064.498911 
0,35,0.99,12035.057164 
0,36,1.09,12053.401066 
0,37,0.99,11991.999548 
0,38,1.08,11979.136860 
0,39,1.08,12048.871903 
