[0] MPI startup(): I_MPI_OFA_TRANSLATION_CACHE variable has been removed from the product, its value is ignored

src,dst,lat(us),bandwidth((Mbytes/sec)
3,44,1.46,5727.775270 
3,45,1.46,5727.066192 
3,46,1.46,5727.322197 
3,47,1.46,5727.544719 
3,48,1.47,5727.653618 
3,49,1.46,5727.760701 
3,50,1.48,5727.876165 
3,51,1.48,5727.695504 
3,52,1.48,5727.923882 
3,53,1.47,5727.906398 
3,54,1.48,5726.816035 
3,55,1.48,5726.836789 
4,0,1.45,5728.547554 
4,1,1.45,5729.772705 
4,2,1.45,5728.883853 
4,3,1.45,5729.327334 
4,5,1.45,5728.731548 
4,6,1.44,5729.439217 
4,7,1.44,5729.658987 
4,8,1.45,5728.175229 
4,9,1.44,5728.556662 
4,10,1.45,5729.451972 
4,11,1.44,5728.692198 
4,12,1.45,5728.724261 
4,13,1.45,5727.240987 
4,14,1.45,5729.114148 
4,15,1.46,5729.065318 
4,16,1.46,5728.422590 
4,17,1.45,5727.898020 
4,18,1.46,5728.326412 
4,19,1.45,5727.590609 
4,20,1.47,5728.398545 
4,21,1.46,5728.681631 
4,22,1.47,5728.026968 
4,23,1.46,5728.265209 
4,24,1.46,5727.031234 
4,25,1.47,5727.641963 
4,26,1.47,5728.178143 
4,27,1.46,5727.023587 
4,28,1.46,5728.304918 
4,29,1.46,5728.514399 
4,30,1.46,5728.961102 
4,31,1.46,5727.313093 
4,32,1.53,5726.821861 
4,33,1.45,5727.727556 
4,34,1.45,5728.518407 
4,35,1.45,5727.945009 
4,36,1.44,5728.847051 
4,37,1.44,5729.080623 
4,38,1.44,5729.448692 
4,39,1.44,5726.806204 
4,40,1.45,5727.315642 
4,41,1.44,5729.886064 
4,42,1.45,5728.895513 
4,43,1.44,5728.478331 
4,44,1.46,5727.285051 
4,45,1.45,5729.018676 
4,46,1.45,5726.573182 
4,47,1.45,5727.783284 
4,48,1.46,5729.018676 
4,49,1.45,5727.830635 
4,50,1.47,5728.796404 
4,51,1.46,5728.354828 
4,52,1.47,5728.582165 
4,53,1.46,5727.196195 
4,54,1.47,5727.444928 
4,55,1.47,5727.365535 
5,0,1.45,5726.968967 
5,1,1.45,5728.360656 
5,2,1.45,5729.681949 
5,3,1.45,5730.357771 
5,4,1.44,5730.339178 
5,6,1.45,5729.127267 
5,7,1.44,5729.322596 
5,8,1.44,5728.561763 
5,9,1.44,5729.968443 
5,10,1.45,5728.296903 
5,11,1.45,5729.544908 
5,12,1.45,5729.319681 
5,13,1.45,5728.972398 
5,14,1.46,5728.061209 
5,15,1.45,5730.451830 
5,16,1.46,5727.692590 
5,17,1.45,5728.844136 
5,18,1.46,5728.632809 
5,19,1.45,5728.547554 
5,20,1.47,5727.236617 
5,21,1.46,5727.782555 
5,22,1.47,5728.121679 
5,23,1.46,5729.962246 
5,24,1.47,5727.101878 
5,25,1.46,5727.415064 
5,26,1.47,5728.055017 
5,27,1.46,5729.073700 
5,28,1.45,5728.630258 
5,29,1.46,5729.383457 
5,30,1.46,5728.796404 
5,31,1.46,5729.875129 
5,32,1.52,5727.861231 
5,33,1.45,5727.587331 
5,34,1.45,5728.424047 
5,35,1.45,5727.784012 
5,36,1.45,5728.792032 
5,37,1.43,5729.498622 
5,38,1.44,5725.696605 
5,39,1.44,5727.027957 
5,40,1.45,5728.677988 
5,41,1.44,5729.496436 
5,42,1.45,5729.796033 
5,43,1.44,5730.258975 
5,44,1.45,5728.074323 
5,45,1.45,5729.845604 
5,46,1.45,5728.422954 
5,47,1.45,5729.276314 
5,48,1.46,5728.781465 
5,49,1.45,5728.980415 
5,50,1.46,5727.765436 
5,51,1.46,5727.057088 
5,52,1.46,5728.064124 
5,53,1.46,5728.952721 
5,54,1.47,5727.907855 
5,55,1.46,5728.164664 
6,0,1.46,5727.560380 
6,1,1.44,5727.306538 
6,2,1.45,5728.160657 
6,3,1.45,5728.236794 
6,4,1.51,5726.691147 
6,5,1.44,5728.303096 
6,7,1.44,5728.469587 
6,8,1.44,5727.380466 
6,9,1.44,5728.167214 
6,10,1.45,5728.033161 
6,11,1.45,5728.035711 
6,12,1.45,5727.483897 
6,13,1.45,5728.290346 
6,14,1.45,5728.122043 
6,15,1.45,5728.522050 
6,16,1.46,5727.540712 
6,17,1.45,5727.998920 
6,18,1.46,5727.142663 
6,19,1.45,5727.468601 
6,20,1.47,5727.412515 
6,21,1.46,5727.979614 
6,22,1.47,5727.689312 
6,23,1.46,5727.964679 
6,24,1.47,5713.083735 
6,25,1.47,5726.951124 
6,26,1.47,5727.613190 
6,27,1.47,5726.845528 
6,28,1.46,5728.174864 
6,29,1.46,5727.686763 
6,30,1.46,5727.203114 
6,31,1.46,5727.552003 
6,32,1.53,5726.062055 
6,33,1.45,5727.012299 
6,34,1.46,5727.741397 
6,35,1.46,5727.625209 
6,36,1.44,5727.144484 
6,37,1.44,5728.852881 
6,38,1.44,5728.149365 
6,39,1.44,5728.069223 
6,40,1.45,5727.632494 
6,41,1.45,5727.310544 
6,42,1.45,5728.723896 
6,43,1.44,5729.121072 
6,44,1.45,5728.143536 
6,45,1.45,5727.273398 
6,46,1.45,5727.608455 
6,47,1.45,5728.395995 
6,48,1.46,5727.365899 
6,49,1.45,5727.792389 
6,50,1.47,5728.308196 
6,51,1.47,5727.233704 
6,52,1.47,5727.416521 
6,53,1.46,5727.226056 
6,54,1.48,5725.346122 
6,55,1.46,5727.194010 
7,0,1.45,5726.230236 
7,1,1.44,5728.889319 
7,2,1.45,5729.218370 
7,3,1.44,5729.084996 
7,4,1.51,5727.234432 
7,5,1.44,5728.197086 
7,6,1.44,5730.027859 
7,8,1.44,5729.261008 
7,9,1.44,5728.747580 
7,10,1.44,5729.603223 
7,11,1.44,5728.722075 
7,12,1.44,5729.371066 
7,13,1.44,5728.813165 
7,14,1.45,5728.891141 
7,15,1.44,5728.971305 
7,16,1.45,5728.151550 
7,17,1.45,5729.482951 
7,18,1.45,5729.318587 
7,19,1.45,5727.957758 
7,20,1.46,5728.559212 
7,21,1.46,5728.673980 
7,22,1.46,5728.815351 
7,23,1.46,5729.194683 
7,24,1.47,5727.546540 
7,25,1.47,5729.111962 
7,26,1.46,5728.407653 
7,27,1.46,5728.957094 
7,28,1.45,5728.823732 
7,29,1.46,5728.107472 
7,30,1.46,5728.782558 
7,31,1.46,5728.611313 
7,32,1.52,5727.151403 
7,33,1.44,5727.549089 
7,34,1.45,5729.664089 
7,35,1.45,5729.243151 
7,36,1.44,5729.105767 
7,37,1.43,5729.211811 
7,38,1.44,5729.423546 
7,39,1.44,5728.444449 
7,40,1.44,5729.720219 
7,41,1.44,5727.805138 
7,42,1.45,5729.740995 
7,43,1.44,5729.586093 
7,44,1.45,5729.830295 
7,45,1.45,5729.049649 
7,46,1.45,5729.470559 
7,47,1.45,5729.208167 
7,48,1.46,5729.437030 
7,49,1.45,5728.813894 
7,50,1.46,5728.786202 
