# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      21.47       21473653.23
2                      42.70       21352231.61
4                      85.23       21307796.57
8                     170.73       21341547.68
16                    341.59       21349306.62
32                    680.66       21270759.74
64                   1358.31       21223575.46
128                  2701.04       21101856.02
256                  5078.51       19837948.55
512                  9267.15       18099904.66
1024                11070.80       10811330.15
2048                11938.45        5829321.09
4096                12119.94        2958970.12
8192                12268.49        1497618.40
16384               12272.67         749064.13
32768               12304.58         375505.96
65536               12330.30         188145.51
131072              12337.00          94123.82
262144              12392.68          47274.32
524288              12396.67          23644.78
1048576             12402.11          11827.57
2097152             12412.68           5918.83
4194304             12413.78           2959.68
