# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      10.62       10618715.72
2                      20.94       10471214.70
4                      42.27       10567051.37
8                      84.78       10597231.56
16                    169.58       10599057.58
32                    334.85       10463923.07
64                    667.11       10423516.68
128                  1327.81       10373482.73
256                  1981.03        7738383.52
512                  2432.64        4751253.46
1024                 2734.97        2670868.08
2048                 2920.22        1425889.90
4096                 2973.08         725848.73
8192                 3013.64         367876.02
16384                3028.01         184814.97
32768                3040.43          92786.61
65536                3045.76          46474.59
131072               3049.71          23267.46
262144               3065.81          11695.14
524288               3064.01           5844.13
1048576              3064.42           2922.46
2097152              3064.96           1461.49
4194304              3066.47            731.10
