# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      26.52       26520520.64
2                      57.90       28950008.09
4                     114.69       28671450.66
8                     231.17       28896253.42
16                    464.42       29025947.04
32                    893.67       27927247.34
64                   1718.17       26846468.09
128                  3227.24       25212850.38
256                  5086.30       19868375.89
512                  7490.81       14630481.75
1024                10649.29       10399698.81
2048                11936.52        5828377.84
4096                11887.59        2902244.66
8192                11995.28        1464267.92
16384               12035.85         734610.24
32768               12047.28         367653.91
65536               12033.35         183614.37
131072              12016.60          91679.37
262144              12003.72          45790.56
524288              12002.75          22893.43
1048576             12075.90          11516.47
2097152             12074.71           5757.67
4194304             12073.90           2878.64
