# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      49.97       49968421.54
2                     102.33       51163801.44
4                     207.32       51830708.60
8                     405.34       50667304.10
16                    830.35       51897024.74
32                   1599.22       49975579.34
64                   3036.11       47439193.24
128                  5407.64       42247182.05
256                  7715.37       30138163.13
512                 10267.81       20054317.01
1024                11814.81       11537897.22
2048                12245.56        5979275.49
4096                12169.37        2971037.87
8192                12260.96        1496699.26
16384               12292.21         750256.91
32768               12306.84         375575.10
65536               12332.70         188182.08
131072              12334.53          94105.03
262144              12336.85          47061.36
524288              12339.29          23535.33
1048576             12341.12          11769.41
2097152             12340.21           5884.27
4194304             12343.09           2942.82
