# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.64        2635324.15
2                       3.03        1512710.58
4                      10.25        2561372.18
8                      20.48        2560462.67
16                     41.16        2572437.93
32                     56.55        1767261.25
64                    112.27        1754238.92
128                   272.69        2130381.68
256                   613.78        2397590.55
512                  1181.86        2308313.59
1024                 2216.88        2164920.73
2048                 3959.32        1933260.83
4096                 6646.49        1622678.11
8192                 9812.48        1197813.08
16384               10801.45         659268.01
32768               11929.59         364062.31
65536               12237.92         186735.83
131072              12117.92          92452.39
262144              12041.37          45934.18
524288              12016.40          22919.47
1048576             12239.38          11672.38
2097152             12294.78           5862.61
4194304             12108.10           2886.80
