# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      10.50       10499459.88
2                      21.06       10528735.92
4                      42.06       10514525.70
8                      84.21       10525898.06
16                    168.43       10527103.87
32                    333.66       10426721.29
64                    665.50       10398374.37
128                  1324.12       10344662.03
256                  1981.46        7740059.44
512                  2437.95        4761627.43
1024                 2734.78        2670680.46
2048                 2915.92        1423791.18
4096                 2969.83         725057.37
8192                 3011.73         367642.59
16384                3032.96         185117.46
32768                3044.76          92918.67
65536                3045.99          46478.04
131072               3049.86          23268.55
262144               3063.79          11687.43
524288               3064.81           5845.66
1048576              3064.23           2922.28
2097152              3065.64           1461.81
4194304              3066.37            731.08
