# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      38.72       38719635.43
2                      65.77       32883898.64
4                     126.39       31598516.17
8                     242.99       30373260.38
16                    452.63       28289631.40
32                    791.63       24738474.88
64                   1258.28       19660633.28
128                  1793.99       14015583.85
256                  2298.92        8980139.42
512                  2641.36        5158896.53
1024                 2864.19        2797064.58
2048                 2989.87        1459899.90
4096                 3031.14         740023.36
8192                 3030.85         369976.39
16384                3041.08         185612.92
32768                3034.25          92597.93
65536                3031.34          46254.53
131072               3060.45          23349.40
262144               3062.07          11680.88
524288               3062.91           5842.04
1048576              3063.36           2921.45
2097152              3063.53           1460.81
4194304              3063.63            730.43
