# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       8.71        8710288.67
2                      18.97        9484991.77
4                      34.65        8662307.15
8                      80.79       10099111.49
16                    136.39        8524362.27
32                    293.10        9159263.69
64                    638.90        9982792.71
128                  1295.97       10124744.63
256                  2530.28        9883899.59
512                  4903.86        9577860.61
1024                 9115.56        8901911.83
2048                11918.93        5819787.86
4096                12142.14        2964388.89
8192                12285.51        1499696.32
16384               12283.53         749727.24
32768               12315.71         375845.63
65536               12328.76         188121.99
131072              12336.55          94120.38
262144              12408.01          47332.79
524288              12414.06          23677.94
1048576             12421.37          11845.94
2097152             12450.14           5936.69
4194304             12437.72           2965.38
