# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      49.57       49568346.04
2                      89.76       44877581.14
4                     205.52       51379201.46
8                     338.36       42295434.94
16                    630.50       39406038.25
32                   1089.57       34048928.63
64                   1248.66       19510335.83
128                  1759.94       13749550.00
256                  4200.18       16406956.58
512                  5002.37        9770259.04
1024                 5126.73        5006571.95
2048                 5377.68        2625822.31
4096                 5531.53        1350472.40
8192                 5597.35         683269.68
16384                5611.91         342523.81
32768                5590.57         170610.57
65536                5659.47          86356.66
131072               5638.00          43014.56
262144               5630.78          21479.71
524288               5638.60          10754.77
1048576              5643.36           5381.92
2097152              5659.97           2698.88
4194304              5664.28           1350.47
