# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       5.29        5289151.30
2                      10.62        5311839.24
4                      21.25        5311675.52
8                      42.45        5306819.89
16                     85.01        5313051.28
32                    169.71        5303290.65
64                    339.40        5303084.49
128                   672.60        5254697.58
256                  1272.95        4972456.76
512                  2391.48        4670866.99
1024                 2733.34        2669276.93
2048                 2917.20        1424412.59
4096                 2963.39         723483.55
8192                 3028.75         369720.43
16384                3027.47         184782.35
32768                3039.84          92768.63
65536                3045.81          46475.34
131072               3048.75          23260.12
262144               3064.93          11691.77
524288               3068.56           5852.82
1048576              3063.59           2921.66
2097152              3068.67           1463.26
4194304              3068.94            731.69
