# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       7.59        7592221.77
2                      15.68        7840994.43
4                      31.11        7777627.90
8                      62.40        7800083.85
16                    125.23        7827061.09
32                    246.38        7699266.64
64                    457.30        7145353.23
128                   867.62        6778318.28
256                  1339.77        5233491.40
512                  2294.06        4480584.72
1024                 3616.08        3531330.63
2048                 7294.01        3561529.03
4096                 9363.96        2286123.34
8192                10592.52        1293032.74
16384               11211.60         684301.91
32768               11599.13         353977.45
65536               11838.37         180639.13
131072              11951.35          91181.57
262144              12006.25          45800.21
524288              12042.65          22969.54
1048576             12057.65          11499.07
2097152             12064.98           5753.03
4194304             12069.22           2877.53
