# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      53.56       53555133.87
2                     166.90       83450886.70
4                     280.89       70222835.67
8                     665.27       83158335.72
16                   1166.84       72927257.80
32                   2676.25       83632871.25
64                   3308.53       51695825.98
128                  4639.42       36245472.15
256                  5603.25       21887680.52
512                  8018.94       15661995.59
1024                10114.09        9877043.35
2048                11600.84        5664470.53
4096                11990.23        2927301.91
8192                12221.01        1491822.78
16384               12165.51         742523.74
32768               12154.48         370925.16
65536               11779.80         179745.42
131072              12355.30          94263.43
262144              12361.83          47156.62
524288              12365.17          23584.70
1048576             12367.06          11794.15
2097152             12367.83           5897.44
4194304             12368.38           2948.85
