# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      32.98       32978092.88
2                      65.72       32861578.44
4                     126.48       31620322.99
8                     242.93       30366420.33
16                    450.71       28169197.64
32                    789.62       24675528.62
64                   1272.75       19886764.39
128                  1829.91       14296178.54
256                  2218.17        8664742.40
512                  2639.44        5155162.62
1024                 2864.40        2797264.19
2048                 2988.38        1459170.23
4096                 2999.02         732183.29
8192                 3029.91         369862.16
16384                3041.08         185612.62
32768                3034.13          92594.35
65536                3056.90          46644.54
131072               3060.27          23348.03
262144               3061.98          11680.53
524288               3062.84           5841.90
1048576              3063.26           2921.36
2097152              3063.48           1460.78
4194304              3063.59            730.42
