# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      10.77       10769254.85
2                      21.45       10722957.43
4                      42.87       10717532.72
8                      85.81       10725809.44
16                    171.48       10717587.56
32                    341.98       10686721.54
64                    680.72       10636322.28
128                  1358.31       10611815.90
256                  2551.62        9967261.84
512                  4942.88        9654066.52
1024                 9177.93        8962824.50
2048                11919.97        5820300.19
4096                12128.02        2960942.16
8192                12267.95        1497552.89
16384               12288.88         750053.78
32768               12314.78         375817.25
65536               12328.17         188112.96
131072              12336.13          94117.21
262144              12422.90          47389.62
524288              12429.54          23707.46
1048576             12441.68          11865.31
2097152             12451.36           5937.27
4194304             12431.57           2963.92
