# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      52.68       52680445.64
2                     116.55       58277089.63
4                     231.93       57981863.11
8                     466.30       58286925.07
16                    937.99       58624323.57
32                   1784.68       55771347.28
64                   3308.01       51687588.40
128                  5813.56       45418462.49
256                  7708.68       30112016.55
512                 10484.32       20477188.48
1024                12007.03       11725616.23
2048                12264.34        5988449.34
4096                12235.79        2987253.43
8192                12310.28        1502720.07
16384               12340.62         753211.84
32768               12329.84         376276.82
65536               12324.09         188050.68
131072              12320.70          93999.46
262144              12319.93          46996.81
524288              12391.37          23634.67
1048576             12392.14          11818.07
2097152             12392.67           5909.28
4194304             12392.86           2954.69
