# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      50.68       50676756.16
2                     110.38       55187697.46
4                     219.36       54841011.28
8                     438.60       54825405.31
16                    885.53       55345622.33
32                   1700.36       53136196.66
64                   3161.77       49402627.43
128                  5700.98       44538935.03
256                  7539.86       29452566.95
512                 10409.82       20331685.44
1024                11952.08       11671956.47
2048                12244.30        5978662.63
4096                12222.04        2983897.26
8192                12304.16        1501972.15
16384               12343.61         753393.86
32768               12329.73         376273.61
65536               12323.43         188040.64
131072              12320.60          93998.68
262144              12319.30          46994.41
524288              12391.25          23634.43
1048576             12392.02          11817.95
2097152             12392.33           5909.12
4194304             12392.77           2954.67
