# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      11.04       11038618.37
2                      22.27       11133019.88
4                      45.04       11260642.22
8                      89.48       11185398.93
16                    180.04       11252633.93
32                    322.65       10082690.28
64                    621.80        9715558.73
128                  1110.90        8678886.40
256                  2050.38        8009303.28
512                  3823.29        7467357.92
1024                 6400.18        6250178.37
2048                 9105.06        4445830.65
4096                11154.29        2723214.28
8192                11807.17        1441305.47
16384               12190.88         744072.06
32768               12637.00         385650.68
65536               12218.04         186432.54
131072              12331.86          94084.64
262144              12339.30          47070.69
524288              12313.27          23485.70
1048576             12331.56          11760.29
2097152             12344.26           5886.20
4194304             12345.79           2943.47
