# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       6.94        6941161.47
2                      13.95        6972846.51
4                      27.94        6986031.31
8                      56.30        7038072.58
16                    115.09        7193154.39
32                    227.33        7104188.94
64                    421.92        6592472.97
128                   831.36        6494982.16
256                  1497.95        5851364.40
512                  2803.45        5475496.27
1024                 4652.64        4543595.69
2048                 6667.70        3255711.60
4096                 8959.95        2187487.50
8192                10400.72        1269618.81
16384               11128.74         679244.15
32768               10868.44         331678.33
65536               12018.44         183386.81
131072              12166.64          92824.08
262144              12258.06          46760.80
524288              12269.86          23402.90
1048576             12299.71          11729.91
2097152             12322.01           5875.59
4194304             12324.82           2938.46
