# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      19.19       19189711.07
2                      41.16       20580974.99
4                      82.34       20584857.98
8                     161.08       20135203.44
16                    306.55       19159322.86
32                    558.90       17465586.74
64                    948.64       14822483.71
128                  1460.90       11413261.66
256                  1988.06        7765877.74
512                  2430.49        4747050.11
1024                 2738.47        2674284.54
2048                 2919.54        1425556.64
4096                 2963.57         723527.29
8192                 3017.71         368373.06
16384                3031.39         185021.44
32768                3042.36          92845.59
65536                3047.27          46497.62
131072               3049.62          23266.76
262144               3062.22          11681.46
524288               3063.19           5842.56
1048576              3064.12           2922.17
2097152              3064.93           1461.47
4194304              3065.01            730.76
