# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      21.05       21048099.12
2                      41.62       20811039.52
4                      83.21       20802468.30
8                     166.96       20869752.75
16                    334.80       20925208.50
32                    662.62       20706789.99
64                   1326.87       20732275.32
128                  2651.91       20718051.97
256                  5003.48       19544859.83
512                  9096.18       17765972.07
1024                11046.93       10788014.71
2048                11921.10        5820851.66
4096                12112.18        2957075.49
8192                12271.99        1498046.09
16384               12275.60         749243.15
32768               12311.63         375721.08
65536               12330.19         188143.79
131072              12338.23          94133.25
262144              12396.77          47289.94
524288              12397.87          23647.05
1048576             12412.83          11837.80
2097152             12422.40           5923.46
4194304             12416.55           2960.34
