# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      32.98       32976655.17
2                      65.98       32990241.40
4                     126.11       31526369.26
8                     242.51       30313451.90
16                    449.93       28120515.15
32                    752.33       23510242.17
64                   1257.41       19646975.84
128                  1794.99       14023394.23
256                  2286.20        8930486.10
512                  2640.26        5156765.09
1024                 2861.51        2794446.27
2048                 2987.04        1458514.75
4096                 2998.53         732063.96
8192                 3031.44         370049.05
16384                3040.71         185589.96
32768                3034.06          92592.06
65536                3056.81          46643.29
131072               3060.31          23348.28
262144               3062.04          11680.74
524288               3062.87           5841.96
1048576              3063.30           2921.39
2097152              3063.51           1460.79
4194304              3063.62            730.42
