# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.44        1439461.24
2                       2.87        1434312.83
4                       5.74        1435381.78
8                      11.50        1437487.17
16                     23.02        1438512.68
32                     45.91        1434712.90
64                     91.72        1433148.03
128                   182.64        1426872.18
256                   355.79        1389806.38
512                   695.91        1359199.66
1024                 1332.54        1301306.59
2048                 2485.75        1213745.90
4096                 4419.07        1078875.25
8192                 6101.35         744794.17
16384                6527.47         398405.14
32768                7844.07         239381.88
65536                8791.27         134144.06
131072               8629.04          65834.33
262144               8687.64          33140.70
524288               9932.28          18944.32
1048576              9919.48           9459.95
2097152              9869.58           4706.18
4194304             10340.71           2465.42
