# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       4.57        4566495.39
2                       9.51        4754291.67
4                      21.46        5364875.12
8                      43.09        5386779.03
16                     86.01        5375722.23
32                    171.84        5369954.07
64                    343.42        5365922.40
128                   683.31        5338380.96
256                  1286.76        5026393.10
512                  2497.00        4876954.47
1024                 4651.64        4542621.06
2048                 8194.86        4001396.99
4096                11879.43        2900251.83
8192                12245.56        1494819.80
16384               12277.66         749368.61
32768               12301.84         375422.41
65536               12340.75         188304.89
131072              12336.29          94118.43
262144              12508.41          47715.80
524288              12499.94          23841.75
1048576             12514.10          11934.38
2097152             12543.34           5981.13
4194304             12476.03           2974.52
