# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      12.24       12240493.18
2                      28.73       14367316.15
4                      57.94       14485004.34
8                     115.65       14456024.32
16                    234.38       14649029.85
32                    451.72       14116178.35
64                    896.67       14010477.21
128                  1701.60       13293742.91
256                  2642.45       10322085.35
512                  4526.94        8841674.96
1024                 6895.34        6733728.64
2048                10323.88        5040956.79
4096                12093.47        2952508.21
8192                12286.41        1499806.11
16384               12323.03         752137.78
32768               12284.29         374886.76
65536               12307.18         187792.60
131072              12304.62          93876.83
262144              12317.56          46987.75
524288              12055.11          22993.30
1048576             12392.27          11818.19
2097152             12392.64           5909.27
4194304             12392.39           2954.58
