# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      69.21       69211371.61
2                     165.45       82726624.92
4                     331.13       82781862.67
8                     659.76       82470381.55
16                   1319.79       82486714.66
32                   2279.91       71247213.70
64                   3411.99       53312364.58
128                  4689.07       36633378.23
256                  5574.05       21773613.52
512                  8033.64       15690696.38
1024                10150.52        9912617.38
2048                11601.25        5664674.72
4096                11966.12        2921415.06
8192                12238.35        1493939.17
16384               12160.01         742188.32
32768               12157.47         371016.46
65536               11322.03         172760.42
131072              12355.34          94263.74
262144              12355.63          47132.98
524288              12349.19          23554.22
1048576             12366.33          11793.45
2097152             12367.87           5897.46
4194304             12368.16           2948.80
