# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      97.67       97667339.82
2                     201.08      100537850.50
4                     404.02      101004745.69
8                     806.61      100825843.91
16                   1621.41      101338260.05
32                   1229.31       38415980.45
64                   2930.57       45790082.10
128                  5555.02       43398572.29
256                  8161.57       31881151.18
512                 10271.65       20061819.89
1024                11773.06       11497131.98
2048                12244.71        5978862.26
4096                12203.93        2979475.86
8192                12319.91        1503895.01
16384               12335.00         752868.50
32768               12310.63         375690.77
65536               12316.05         187928.06
131072              12316.91          93970.59
262144              12387.29          47253.78
524288              12389.83          23631.73
1048576             12392.07          11818.00
2097152             12392.29           5909.10
4194304             12392.76           2954.66
