# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      66.67       66674626.81
2                     119.28       59637700.63
4                     232.20       58050723.45
8                     452.93       56616121.53
16                    864.71       54044161.92
32                   1547.65       48364125.68
64                   2514.03       39281785.95
128                  3551.12       27743131.81
256                  4522.83       17667299.81
512                  5235.93       10226419.20
1024                 5313.92        5189376.96
2048                 5523.01        2696781.06
4096                 5654.42        1380474.53
8192                 5688.32         694374.46
16384                5729.45         349697.83
32768                5729.24         174842.51
65536                5773.29          88093.42
131072               5780.37          44100.70
262144               5781.79          22055.77
524288               5784.68          11033.40
1048576              5785.81           5517.78
2097152              5786.19           2759.07
4194304              5786.41           1379.59
