# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       5.40        5397638.14
2                      10.76        5378196.59
4                      21.53        5382306.80
8                      43.15        5393859.04
16                     86.36        5397445.24
32                    153.67        4802126.22
64                    344.10        5376498.22
128                   684.94        5351089.20
256                  1286.78        5026487.31
512                  2401.80        4691018.24
1024                 2733.53        2669462.01
2048                 2917.23        1424427.13
4096                 2965.97         724114.02
8192                 3015.66         368123.13
16384                3029.00         184875.69
32768                3039.92          92770.93
65536                3047.58          46502.30
131072               3049.02          23262.19
262144               3062.77          11683.56
524288               3066.99           5849.81
1048576              3064.13           2922.18
2097152              3068.26           1463.06
4194304              3073.99            732.90
