# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      37.48       37484262.10
2                      75.70       37851719.96
4                     131.43       32856987.77
8                     315.01       39376601.58
16                    554.49       34655909.67
32                   1079.67       33739698.59
64                   2398.50       37476515.21
128                  4871.37       38057612.62
256                  6532.12       25516092.46
512                  8779.29       17147054.01
1024                10766.67       10514326.52
2048                11633.01        5680182.20
4096                11806.86        2882535.22
8192                11943.07        1457894.17
16384               11961.62         730079.49
32768               11993.14         366001.47
65536               12011.96         183288.04
131072              12019.89          91704.51
262144              12075.13          46062.98
524288              12078.36          23037.65
1048576             12077.50          11518.00
2097152             12082.56           5761.41
4194304             12083.46           2880.92
