# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      20.93       20931965.25
2                      41.61       20803691.54
4                      82.45       20612186.89
8                     159.70       19962577.31
16                    307.69       19230922.99
32                    560.94       17529527.45
64                    951.42       14865873.83
128                  1460.90       11413278.10
256                  1985.86        7757249.47
512                  2431.03        4748105.93
1024                 2736.42        2672287.48
2048                 2917.81        1424709.55
4096                 2960.73         722834.13
8192                 3011.42         367605.46
16384                3025.86         184684.06
32768                3038.93          92740.67
65536                3045.45          46469.91
131072               3048.72          23259.92
262144               3062.04          11680.74
524288               3062.92           5842.06
1048576              3063.59           2921.67
2097152              3064.08           1461.07
4194304              3064.22            730.57
