# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      12.09       12089505.79
2                      24.42       12207648.28
4                      48.86       12214474.73
8                      97.50       12186889.76
16                    195.48       12217797.51
32                    379.82       11869309.63
64                    688.45       10756957.88
128                  1212.27        9470849.58
256                  1702.23        6649321.29
512                  2591.16        5060854.80
1024                 2852.50        2785641.41
2048                 2979.55        1454856.18
4096                 2994.36         731044.86
8192                 3028.93         369742.87
16384                3040.39         185570.70
32768                3034.03          92591.20
65536                3030.67          46244.35
131072               3029.09          23110.14
262144               3028.21          11551.71
524288               3062.81           5841.85
1048576              3063.26           2921.35
2097152              3063.48           1460.78
4194304              3063.59            730.42
