# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      10.31       10309431.96
2                      20.70       10350397.34
4                      41.67       10417416.94
8                      82.51       10313556.28
16                    166.81       10425396.92
32                    315.09        9846600.73
64                    613.92        9592423.18
128                  1143.09        8930415.32
256                  1913.57        7474889.04
512                  2587.99        5054665.42
1024                 2847.04        2780309.80
2048                 2984.43        1457241.27
4096                 2995.48         731317.89
8192                 3029.29         369786.58
16384                3040.81         185596.24
32768                3033.80          92584.36
65536                3030.60          46243.25
131072               3029.05          23109.79
262144               3028.22          11551.76
524288               3062.78           5841.79
1048576              3063.22           2921.31
2097152              3063.44           1460.76
4194304              3063.59            730.42
