# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      23.71       23708220.34
2                      50.02       25012212.99
4                      99.92       24980989.81
8                     196.77       24596381.55
16                    379.32       23707715.36
32                    715.12       22347353.82
64                   1216.83       19012960.01
128                  1803.96       14093453.08
256                  2271.36        8872502.49
512                  2635.01        5146499.84
1024                 2861.50        2794435.00
2048                 2991.04        1460467.19
4096                 2998.45         732043.85
8192                 3034.53         370425.67
16384                3040.89         185601.14
32768                3034.26          92598.41
65536                3032.24          46268.39
131072               3029.32          23111.89
262144               3062.83          11683.78
524288               3063.45           5843.06
1048576              3063.38           2921.47
2097152              3063.65           1460.86
4194304              3063.72            730.45
