# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      15.70       15700339.40
2                      31.66       15832218.07
4                      62.59       15648266.10
8                     126.05       15756435.06
16                    254.26       15891559.97
32                    490.55       15329589.16
64                    901.33       14083337.05
128                  1726.40       13487469.82
256                  2693.09       10519896.58
512                  4533.61        8854699.91
1024                 7006.39        6842179.26
2048                10171.99        4966793.30
4096                12100.72        2954276.57
8192                12274.09        1498302.53
16384               12236.16         746836.23
32768               12310.31         375680.94
65536               12316.18         187930.00
131072              12305.29          93881.88
262144              12028.76          45886.09
524288              12023.01          22932.07
1048576             12390.96          11816.94
2097152             12392.90           5909.40
4194304             12393.06           2954.74
