# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       0.92         919917.03
2                       2.76        1380280.02
4                       5.53        1383546.96
8                      11.08        1384873.02
16                     22.13        1382835.34
32                     44.09        1377904.29
64                     87.91        1373638.43
128                   174.69        1364774.97
256                   341.26        1333045.40
512                   667.90        1304489.76
1024                 1279.86        1249865.44
2048                 2384.09        1164105.91
4096                 4202.42        1025982.65
8192                 6280.18         766623.05
16384                6607.35         403280.76
32768                8016.72         244651.02
65536                9035.59         137872.16
131072               8964.84          68396.32
262144               9818.92          37456.22
524288              10555.40          20132.82
1048576             10896.91          10392.10
2097152             10720.04           5111.71
4194304             10339.25           2465.07
