# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      23.26       23255285.81
2                      50.09       25043489.83
4                      98.71       24676292.35
8                     193.24       24154691.93
16                    378.30       23643702.34
32                    712.45       22264097.86
64                   1238.69       19354453.38
128                  1797.69       14044417.94
256                  2276.65        8893161.00
512                  2638.05        5152434.83
1024                 2860.90        2793844.28
2048                 2989.55        1459740.70
4096                 3000.43         732525.72
8192                 3035.32         370522.51
16384                3043.17         185740.18
32768                3035.75          92643.69
65536                3031.88          46262.83
131072               3029.26          23111.39
262144               3062.27          11681.64
524288               3063.17           5842.53
1048576              3063.52           2921.60
2097152              3063.69           1460.88
4194304              3063.72            730.45
