# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      21.07       21073470.72
2                      46.24       23118714.82
4                      92.86       23214990.45
8                     185.15       23143774.40
16                    374.98       23436039.32
32                    737.18       23036907.54
64                   1401.22       21894020.92
128                  2606.24       20361265.64
256                  4390.00       17148424.93
512                  5282.31       10317002.04
1024                 5332.71        5207727.53
2048                 5569.44        2719453.81
4096                 5683.01        1387453.15
8192                 5729.34         699382.21
16384                5744.99         350646.59
32768                5734.25         174995.44
65536                5757.19          87847.77
131072               5766.75          43996.79
262144               5770.79          22013.82
524288               5772.28          11009.75
1048576              5783.00           5515.10
2097152              5785.25           2758.62
4194304              5786.15           1379.52
