# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.44        1442000.92
2                       2.89        1444159.78
4                       5.78        1444473.66
8                      11.57        1446393.31
16                     23.12        1445241.03
32                     46.20        1443858.78
64                     92.31        1442361.70
128                   183.56        1434075.17
256                   358.28        1399514.17
512                   700.41        1367987.90
1024                 1344.31        1312805.81
2048                 2362.21        1153420.86
4096                 2610.19         637253.70
8192                 2801.98         342038.27
16384                2899.46         176969.23
32768                2973.01          90729.14
65536                3011.63          45953.82
131072               3031.65          23129.62
262144               2820.92          10760.97
524288               2913.15           5556.38
1048576              2961.24           2824.06
2097152              2936.75           1400.35
4194304              2933.85            699.48
