# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      79.26       79259087.18
2                     155.59       77796924.66
4                     308.90       77224926.86
8                     628.69       78586158.05
16                   1261.57       78848070.18
32                   2563.46       80108077.46
64                   1786.87       27919798.90
128                  2932.80       22912531.92
256                  5653.64       22084523.32
512                  8048.01       15718774.05
1024                10068.50        9832519.00
2048                11446.54        5589130.65
4096                11668.99        2848875.65
8192                11913.42        1454274.34
16384               11910.91         726984.43
32768               12213.57         372728.53
65536               12195.53         186089.07
131072              12196.90          93054.99
262144              12202.45          46548.64
524288              12227.03          23321.21
1048576             12223.88          11657.60
2097152             12218.14           5826.06
4194304             12212.89           2911.78
